#Ref_Name	Code	Family	Script	doc_count	image_count	token_count
Acehnese	ace_Latn	Austronesian	Latin	7803	32461	2889134
Mesopotamian Arabic	acm_Arab	Afro-Asiatic	Arabic	2274	10620	1047748
Tunisian Arabic	aeb_Arab	Afro-Asiatic	Arabic	7640	41570	2715187
Afrikaans	afr_Latn	Indo-European	Latin	54895	247774	39956585
South Levantine Arabic	ajp_Arab	Afro-Asiatic	Arabic	12098	87837	5167813
Tosk Albanian	als_Latn	Indo-European	Latin	861678	2569164	452737251
Amharic	amh_Ethi	Afro-Asiatic	Ge‘ez	39588	152646	35089019
North Levantine Arabic	apc_Arab	Afro-Asiatic	Arabic	19904	128966	9560701
Modern Standard Arabic	arb_Arab	Afro-Asiatic	Arabic	3936851	15126931	3401919964
Najdi Arabic	ars_Arab	Afro-Asiatic	Arabic	60229	296741	43610873
Moroccan Arabic	ary_Arab	Afro-Asiatic	Arabic	142386	698051	204723454
Egyptian Arabic	arz_Arab	Afro-Asiatic	Arabic	835529	4054632	653626387
Assamese	asm_Beng	Indo-European	Bengali	3948	9210	640390
Asturian	ast_Latn	Indo-European	Latin	165745	962723	37547944
Awadhi	awa_Deva	Indo-European	Devanagari	29324	107483	4961635
Central Aymara	ayr_Latn	Aymaran	Latin	27384	151889	5148970
South Azerbaijani	azb_Arab	Turkic	Arabic	8274	38233	5256693
North Azerbaijani	azj_Latn	Turkic	Latin	516021	1808060	257825849
Bashkir	bak_Cyrl	Turkic	Cyrillic	4532	17174	3038766
Bambara	bam_Latn	Manding	Latin	7674	39190	1243332
Balinese	ban_Latn	Austronesian	Latin	1886	11266	542015
Belarusian	bel_Cyrl	Indo-European	Cyrillic	63309	287539	72976520
Bemba	bem_Latn	Atlantic–Congo	Latin	1096	7479	1340471
Bengali	ben_Beng	Indo-European	Bengali	270406	947035	35858814
Bhojpuri	bho_Deva	Indo-European	Devanagari	6366	28131	875463
Banjar	bjn_Latn	Austronesian	Latin	5427	27803	1898526
Bosnian	bos_Latn	Indo-European	Latin	1960599	7633049	1255000505
Buginese	bug_Latn	Austronesian	Latin	3312	18648	588678
Bulgarian	bul_Cyrl	Indo-European	Cyrillic	2591998	11670028	1760971620
Catalan	cat_Latn	Indo-European	Latin	1153864	4736634	606447390
Cebuano	ceb_Latn	Austronesian	Latin	16990	91234	10748818
Czech	ces_Latn	Indo-European	Latin	3918837	13291309	2823172996
Central Kurdish	ckb_Arab	Indo-European	Arabic	36725	136566	22322689
Crimean Tatar	crh_Latn	Turkic	Latin	6376	24124	1742727
